,m2_construit,nb_pieces,nb_sdb,nb_etages,latitude,longitude,prix_achat,prix_achat_m2,travaux_necessaire,annee_construction,ascenseur,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse
21713,70,2,1,0,40.473318,-3.579845,145900,2084,0,1968.0,1,0,0,1,1,0,0,0,21,True,False,False,False
21712,75,1,1,0,40.473318,-3.579845,92500,1233,0,2008.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21711,123,3,2,0,40.473318,-3.579845,298000,2423,0,2002.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21710,61,3,1,0,40.473318,-3.579845,99900,1638,0,2077.0,0,0,0,1,0,0,0,0,21,True,False,False,False
21709,72,2,1,0,40.473318,-3.579845,138000,1917,0,2077.0,1,0,0,0,1,0,0,1,21,True,False,False,False
21708,61,3,1,0,40.473318,-3.579845,100000,1639,0,1966.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21707,71,3,1,0,40.473318,-3.579845,131400,1851,1,1980.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21706,87,3,1,0,40.473318,-3.579845,96000,1103,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21705,60,2,1,0,40.473318,-3.579845,154000,2567,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21704,78,4,1,0,40.473318,-3.579845,146700,1881,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21703,52,1,1,0,40.473318,-3.579845,92500,1779,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21702,125,3,3,0,40.473318,-3.579845,275000,2200,0,2004.0,1,0,1,1,0,1,0,0,21,False,True,False,False
21700,97,2,2,0,40.473318,-3.579845,266122,2744,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21699,93,2,2,0,40.473318,-3.579845,228273,2455,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21698,103,4,2,0,40.473318,-3.579845,171900,1669,0,2077.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21697,83,2,2,0,40.473318,-3.579845,228273,2750,0,2020.0,1,0,1,1,0,1,1,1,21,False,False,False,True
21696,45,2,1,0,40.473318,-3.579845,85000,1889,1,1968.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21695,120,3,2,0,40.473318,-3.579845,298000,2483,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21694,74,3,1,0,40.473318,-3.579845,139000,1878,0,2077.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21693,125,3,2,0,40.473318,-3.579845,272500,2180,0,2004.0,1,0,1,1,0,1,1,0,21,False,True,False,False
21692,126,4,2,0,40.473318,-3.579845,275000,2183,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21691,158,3,2,0,40.473318,-3.579845,289000,1829,0,2003.0,1,0,1,1,0,1,1,1,21,False,False,False,True
21690,65,2,1,0,40.473318,-3.579845,115000,1769,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21689,108,3,2,0,40.473318,-3.579845,179000,1657,0,1978.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21688,62,2,1,0,40.473318,-3.579845,123000,1984,0,1984.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21687,51,2,1,0,40.473318,-3.579845,89500,1755,1,1967.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21686,112,3,2,0,40.473318,-3.579845,289000,2580,0,2013.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21685,109,3,2,0,40.473318,-3.579845,216278,1984,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21684,107,3,2,0,40.473318,-3.579845,207503,1939,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21683,76,2,2,0,40.473318,-3.579845,162793,2142,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21682,105,3,2,0,40.473318,-3.579845,204999,1952,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21681,109,3,2,0,40.473318,-3.579845,220879,2026,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21680,108,3,2,0,40.473318,-3.579845,218258,2021,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21679,109,3,2,0,40.473318,-3.579845,231855,2127,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21678,76,2,2,0,40.473318,-3.579845,163397,2150,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21677,76,2,2,0,40.473318,-3.579845,160759,2115,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21676,108,3,2,0,40.473318,-3.579845,217169,2011,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21675,76,2,2,0,40.473318,-3.579845,165208,2174,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21674,109,3,2,0,40.473318,-3.579845,219775,2016,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21673,108,3,2,0,40.473318,-3.579845,230817,2137,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21672,108,3,2,0,40.473318,-3.579845,213722,1979,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21671,111,2,2,0,40.473318,-3.579845,230749,2079,0,2077.0,1,0,1,1,0,1,0,1,21,False,False,False,True
21670,115,3,2,0,40.473318,-3.579845,233789,2033,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21669,115,3,2,0,40.473318,-3.579845,230789,2007,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21668,117,3,2,0,40.473318,-3.579845,244171,2087,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21667,117,3,2,0,40.473318,-3.579845,243468,2081,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21666,117,3,2,0,40.473318,-3.579845,244798,2092,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21665,118,3,2,0,40.473318,-3.579845,219235,1858,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21664,115,3,2,0,40.473318,-3.579845,242789,2111,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21663,97,4,1,0,40.473318,-3.579845,130000,1340,0,1970.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21662,106,3,2,0,40.473318,-3.579845,251569,2373,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21661,103,3,2,0,40.473318,-3.579845,235402,2285,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21660,103,3,2,0,40.473318,-3.579845,235172,2283,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21659,103,3,2,0,40.473318,-3.579845,236227,2293,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21658,114,3,2,0,40.473318,-3.579845,254710,2234,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21657,150,2,1,2,40.473318,-3.579845,159000,1060,1,1993.0,0,0,0,1,0,1,0,1,21,False,False,True,False
21656,140,3,3,0,40.473318,-3.579845,272500,1946,0,2004.0,1,0,1,1,0,1,1,0,21,False,True,False,False
21655,58,3,1,0,40.473318,-3.579845,85000,1466,0,1951.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21654,65,3,1,0,40.473318,-3.579845,94000,1446,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21653,110,4,2,0,40.473318,-3.579845,175000,1591,0,1978.0,1,0,0,1,1,0,0,0,21,True,False,False,False
21652,173,4,2,0,40.473318,-3.579845,268000,1549,0,2003.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21651,75,2,1,0,40.473318,-3.579845,156000,2080,0,2077.0,1,0,0,1,0,1,0,0,21,False,False,False,True
21650,90,1,1,0,40.473318,-3.579845,183159,2035,0,2077.0,1,0,1,1,0,1,0,1,21,False,False,False,True
21649,125,3,2,0,40.473318,-3.579845,210000,1680,0,1996.0,1,0,0,0,0,1,0,1,21,True,False,False,False
21648,58,2,1,0,40.473318,-3.579845,85000,1466,0,1968.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21647,92,3,1,0,40.473318,-3.579845,159900,1738,0,1962.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21646,70,2,1,0,40.473318,-3.579845,117000,1671,0,1975.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21645,54,2,1,0,40.473318,-3.579845,110000,2037,0,1960.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21644,52,2,1,0,40.473318,-3.579845,100000,1923,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21643,108,3,1,0,40.473318,-3.579845,140000,1296,0,1995.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21642,65,2,1,0,40.473318,-3.579845,106500,1638,0,1963.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21641,102,3,2,0,40.473318,-3.579845,127500,1250,0,1964.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21640,80,2,1,0,40.473318,-3.579845,148000,1850,0,1999.0,1,0,0,1,0,1,1,1,21,True,False,False,False
21639,108,2,1,0,40.473318,-3.579845,205000,1898,0,2002.0,1,0,1,1,0,1,0,1,21,False,True,False,False
21638,80,3,2,0,40.473318,-3.579845,220000,2750,0,2000.0,1,0,1,0,0,0,1,1,21,True,False,False,False
21637,16,3,1,0,40.473318,-3.579845,114000,7125,0,1970.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21636,54,2,1,0,40.473318,-3.579845,89900,1665,0,1964.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21635,70,2,2,0,40.473318,-3.579845,210000,3000,0,2003.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21634,99,2,2,0,40.473318,-3.579845,145000,1465,0,2007.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21633,123,4,2,0,40.473318,-3.579845,275000,2236,0,2077.0,1,0,0,1,0,0,1,0,21,True,False,False,False
21632,64,3,1,0,40.473318,-3.579845,104000,1625,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21631,107,3,2,0,40.473318,-3.579845,228629,2137,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21630,76,2,2,0,40.473318,-3.579845,169021,2224,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21629,109,3,2,0,40.473318,-3.579845,223022,2046,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21628,108,3,2,0,40.473318,-3.579845,220072,2038,0,2077.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21627,103,3,2,0,40.473318,-3.579845,235718,2289,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21626,103,3,2,0,40.473318,-3.579845,245000,2379,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21625,143,3,2,0,40.473318,-3.579845,260000,1818,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21624,99,3,2,0,40.473318,-3.579845,235000,2374,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21623,100,3,2,0,40.473318,-3.579845,235000,2350,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21622,176,2,2,0,40.473318,-3.579845,265000,1506,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21621,87,2,2,0,40.473318,-3.579845,190000,2184,0,2077.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21620,106,3,2,0,40.473318,-3.579845,256115,2416,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21619,113,3,2,0,40.473318,-3.579845,261989,2318,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21618,115,3,2,0,40.473318,-3.579845,273353,2377,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21617,129,3,2,0,40.473318,-3.579845,297621,2307,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21616,115,3,2,0,40.473318,-3.579845,279778,2433,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21615,110,2,2,0,40.473318,-3.579845,135000,1227,1,2077.0,1,0,0,1,0,1,0,0,21,True,False,False,False
21614,90,3,2,0,40.473318,-3.579845,195000,2167,0,1985.0,1,0,0,1,0,1,0,0,21,True,False,False,False
21613,60,2,1,0,40.473318,-3.579845,126900,2115,1,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21612,54,2,1,0,40.473318,-3.579845,136400,2526,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21611,80,3,1,0,40.473318,-3.579845,145000,1812,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21610,73,2,1,0,40.473318,-3.579845,127500,1747,0,1999.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21609,122,3,2,0,40.473318,-3.579845,179000,1467,0,1999.0,1,0,0,0,0,0,0,1,21,True,False,False,False
21608,98,3,2,0,40.473318,-3.579845,266122,2716,0,2020.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21607,97,3,2,0,40.473318,-3.579845,261989,2701,0,2020.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21606,111,3,2,0,40.473318,-3.579845,297621,2681,0,2020.0,1,0,1,1,0,1,1,1,21,False,False,False,True
21605,99,3,2,0,40.473318,-3.579845,251569,2541,0,2020.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21604,77,3,1,0,40.473318,-3.579845,113500,1474,1,1968.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21603,85,3,1,0,40.473318,-3.579845,138000,1624,0,1966.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21602,90,3,2,0,40.473318,-3.579845,225000,2500,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21601,133,2,1,0,40.473318,-3.579845,264000,1985,0,2003.0,1,0,1,1,1,1,1,1,21,True,False,False,False
21600,60,3,1,0,40.473318,-3.579845,98260,1638,0,1960.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21599,133,3,3,0,40.473318,-3.579845,275000,2068,0,2004.0,1,0,1,1,0,1,0,0,21,True,False,False,False
21598,85,2,1,0,40.473318,-3.579845,124000,1459,0,1967.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21597,59,2,2,0,40.473318,-3.579845,164513,2788,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21596,59,2,2,0,40.473318,-3.579845,164416,2787,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21595,58,2,2,0,40.473318,-3.579845,165435,2852,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21594,79,3,2,0,40.473318,-3.579845,202629,2565,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21593,60,2,2,0,40.473318,-3.579845,164242,2737,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21592,121,3,2,0,40.473318,-3.579845,260000,2149,0,2001.0,1,0,1,1,1,1,1,1,21,True,False,False,False
21591,126,3,2,0,40.473318,-3.579845,294900,2340,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21590,134,4,2,0,40.473318,-3.579845,319900,2387,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21589,111,3,2,0,40.473318,-3.579845,259900,2341,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21588,122,3,2,0,40.473318,-3.579845,285900,2343,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21587,125,3,2,0,40.473318,-3.579845,289900,2319,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21586,102,2,2,0,40.473318,-3.579845,249900,2450,0,2077.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21585,104,3,2,0,40.473318,-3.579845,273352,2628,0,2020.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21584,66,3,1,0,40.473318,-3.579845,104900,1589,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21583,95,2,1,0,40.473318,-3.579845,155000,1632,0,1965.0,1,0,0,1,1,0,0,0,21,True,False,False,False
21582,74,3,1,0,40.473318,-3.579845,100000,1351,0,1968.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21581,97,2,1,0,40.473318,-3.579845,210000,2165,0,2003.0,1,0,1,1,0,1,0,1,21,True,False,False,False
21580,90,2,2,0,40.473318,-3.579845,240000,2667,0,2004.0,1,0,1,0,0,1,0,1,21,False,False,False,True
21579,130,4,2,0,40.473318,-3.579845,257000,1977,0,2077.0,1,0,1,1,0,0,1,0,21,True,False,False,False
21578,49,2,1,0,40.473318,-3.579845,84000,1714,0,1969.0,1,0,0,0,0,0,1,0,21,True,False,False,False
21577,151,3,2,0,40.473318,-3.579845,314000,2079,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21576,69,3,1,0,40.473318,-3.579845,107000,1551,0,1961.0,1,0,0,1,0,1,0,0,21,True,False,False,False
21575,170,3,2,0,40.473318,-3.579845,325000,1912,0,2010.0,1,0,1,1,0,1,1,1,21,False,False,False,True
21574,48,2,1,0,40.473318,-3.579845,89000,1854,0,1971.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21573,98,3,2,0,40.473318,-3.579845,284900,2907,0,2001.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21572,50,1,1,0,40.473318,-3.579845,135000,2700,0,2008.0,1,0,1,0,0,1,0,1,21,True,False,False,False
21571,136,3,2,0,40.473318,-3.579845,230000,1691,0,1999.0,1,0,0,1,0,0,0,1,21,False,False,False,True
21570,80,3,1,0,40.473318,-3.579845,163000,2038,0,2077.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21569,95,3,1,0,40.473318,-3.579845,185000,1947,0,1975.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21568,56,3,1,0,40.473318,-3.579845,80000,1429,1,1965.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21567,43,1,1,0,40.473318,-3.579845,84000,1953,0,1971.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21566,72,3,1,0,40.473318,-3.579845,119900,1665,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21565,100,4,2,0,40.473318,-3.579845,154900,1549,0,2077.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21564,70,3,1,0,40.473318,-3.579845,119900,1713,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21563,60,2,1,0,40.473318,-3.579845,79900,1332,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21562,60,2,1,0,40.473318,-3.579845,79900,1332,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21561,91,3,2,0,40.473318,-3.579845,129900,1427,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21560,74,3,1,0,40.473318,-3.579845,99900,1350,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21559,110,3,2,0,40.473318,-3.579845,275000,2500,0,2077.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21558,83,3,1,0,40.473318,-3.579845,91500,1102,0,1966.0,1,0,0,1,1,0,0,0,21,True,False,False,False
21556,65,2,1,0,40.473318,-3.579845,86860,1336,1,1982.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21555,58,3,1,0,40.473318,-3.579845,105000,1810,0,1966.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21554,115,3,2,0,40.473318,-3.579845,216000,1878,0,2001.0,1,0,1,0,0,0,0,1,21,True,False,False,False
21553,82,3,1,0,40.473318,-3.579845,120000,1463,0,1960.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21552,83,3,1,0,40.473318,-3.579845,135000,1627,0,1985.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21551,90,2,1,0,40.473318,-3.579845,212000,2356,0,2002.0,1,0,1,0,0,1,1,0,21,True,False,False,False
21550,95,2,2,0,40.473318,-3.579845,184000,1937,0,2011.0,1,0,0,0,0,1,0,0,21,True,False,False,False
21549,89,3,1,0,40.473318,-3.579845,160000,1798,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21548,178,4,2,0,40.473318,-3.579845,299990,1685,0,2077.0,1,0,1,0,1,1,1,1,21,True,False,False,False
21547,59,2,1,0,40.473318,-3.579845,117000,1983,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21546,100,4,1,0,40.473318,-3.579845,165000,1650,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21545,68,3,1,0,40.473318,-3.579845,95000,1397,1,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21544,50,2,1,0,40.473318,-3.579845,106000,2120,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21543,114,4,2,0,40.473318,-3.579845,229000,2009,0,1987.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21542,81,3,2,0,40.473318,-3.579845,155000,1914,0,1999.0,1,0,0,0,0,1,1,1,21,True,False,False,False
21541,91,2,2,0,40.473318,-3.579845,228208,2508,0,2020.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21540,95,3,1,0,40.473318,-3.579845,100000,1053,1,1970.0,1,0,0,0,1,0,0,0,21,True,False,False,False
21539,80,3,1,0,40.473318,-3.579845,140000,1750,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21538,60,2,1,0,40.473318,-3.579845,105000,1750,0,1967.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21537,80,3,1,0,40.473318,-3.579845,165000,2062,0,1977.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21536,60,2,1,0,40.473318,-3.579845,73000,1217,0,1960.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21535,50,1,1,0,40.473318,-3.579845,159000,3180,0,2007.0,1,0,1,0,0,1,1,1,21,True,False,False,False
21534,136,3,1,0,40.473318,-3.579845,135990,1000,0,1967.0,1,0,0,1,1,1,0,0,21,True,False,False,False
21533,96,2,2,0,40.473318,-3.579845,210000,2188,0,2001.0,1,0,1,1,0,1,1,1,21,True,False,False,False
21532,71,2,2,0,40.473318,-3.579845,198000,2789,0,2001.0,1,0,1,0,0,1,0,0,21,True,False,False,False
21531,74,2,1,0,40.473318,-3.579845,139900,1891,0,1966.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21530,65,2,1,0,40.473318,-3.579845,110000,1692,0,1962.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21529,93,3,1,0,40.473318,-3.579845,160000,1720,1,1976.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21528,75,3,1,0,40.473318,-3.579845,103000,1373,0,1968.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21527,63,3,1,0,40.473318,-3.579845,100000,1587,1,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21526,65,3,1,0,40.473318,-3.579845,90000,1385,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21525,115,3,1,0,40.473318,-3.579845,154900,1347,0,1975.0,0,0,0,1,0,1,0,0,21,False,True,False,False
21524,63,2,1,0,40.473318,-3.579845,82260,1306,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21523,72,3,1,0,40.473318,-3.579845,139400,1936,0,1961.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21522,100,2,2,0,40.473318,-3.579845,154900,1549,0,2077.0,1,0,0,0,0,1,1,1,21,True,False,False,False
21521,90,3,2,0,40.473318,-3.579845,155000,1722,0,1998.0,1,0,0,1,0,1,1,1,21,True,False,False,False
21520,66,3,1,0,40.473318,-3.579845,88000,1333,0,2077.0,1,0,0,0,0,0,0,0,21,True,False,False,False
21519,102,3,2,0,40.473318,-3.579845,225000,2206,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21518,105,2,1,0,40.473318,-3.579845,189000,1800,0,1995.0,1,0,0,1,0,0,0,1,21,True,False,False,False
21517,95,4,1,0,40.473318,-3.579845,138000,1453,0,2077.0,1,0,0,1,0,0,0,0,21,True,False,False,False
21516,120,3,1,0,40.473318,-3.579845,195000,1625,0,1962.0,1,0,0,0,0,0,0,0,21,True,False,False,False
